method,bmi,trial,snr_db,respiration_true_bpm,respiration_est_bpm,respiration_abs_error_bpm,heart_true_bpm,heart_est_bpm,heart_abs_error_bpm,spatial_sinr_db
3-layer SIM (universal),22.0,9.0,8.0,16.76661890501842,16.74395905840617,0.022659846612249623,71.97856718861588,71.98212702165056,0.0035598330346715557,5.098389176823039
3-layer SIM (BMI-adaptive),22.0,9.0,8.0,16.76661890501842,16.720103779259183,0.04651512575923533,71.97856718861588,71.9099433784459,0.06862381016998143,6.103259852702854
No intelligent surface,26.0,0.0,8.0,22.23198328925191,22.254488285262,0.022504996010088263,84.08738116663727,50.22237658368491,33.86500458295236,-8.750032626059731
Digital MVDR array (BMI-adaptive),26.0,0.0,8.0,22.23198328925191,22.18717968196158,0.04480360729032995,84.08738116663727,84.08374197175887,0.0036391948784029182,7.407358404610994
1-layer RIS (BMI-adaptive),26.0,0.0,8.0,22.23198328925191,22.178333178420065,0.05365011083184612,84.08738116663727,84.0175731030506,0.06980806358667735,4.173304022970789
3-layer SIM (universal),26.0,0.0,8.0,22.23198328925191,22.191512486243138,0.04047080300877326,84.08738116663727,84.15783233367188,0.07045116703460508,6.680070824734866
3-layer SIM (BMI-adaptive),26.0,0.0,8.0,22.23198328925191,22.190214958076226,0.04176833117568535,84.08738116663727,84.13863718663785,0.05125602000057938,7.456125750259034
No intelligent surface,26.0,1.0,8.0,23.493655748717025,6.646175095940832,16.84748065277619,61.999604990424196,55.5286110529739,6.470993937450295,-8.75015515532078
Digital MVDR array (BMI-adaptive),26.0,1.0,8.0,23.493655748717025,23.442556716635792,0.051099032081232565,61.999604990424196,61.870388744224286,0.1292162461999098,7.561424995881979
1-layer RIS (BMI-adaptive),26.0,1.0,8.0,23.493655748717025,23.444857166355295,0.04879858236173007,61.999604990424196,61.92441429896419,0.07519069146000845,4.327972461761754
3-layer SIM (universal),26.0,1.0,8.0,23.493655748717025,23.438432686235956,0.05522306248106901,61.999604990424196,61.82497017900704,0.17463481141715675,7.135450577652259
3-layer SIM (BMI-adaptive),26.0,1.0,8.0,23.493655748717025,23.439822600369165,0.05383314834785935,61.999604990424196,61.8248659089394,0.17473908148479467,7.607097714356365
No intelligent surface,26.0,2.0,8.0,11.310574622241075,12.837954704681477,1.527380082440402,88.3873133258477,50.682975193246065,37.704338132601634,-8.749780545081556
Digital MVDR array (BMI-adaptive),26.0,2.0,8.0,11.310574622241075,11.25558779145527,0.05498683078580591,88.3873133258477,88.28480571604887,0.10250760979883466,7.494578902134363
1-layer RIS (BMI-adaptive),26.0,2.0,8.0,11.310574622241075,11.259262078780347,0.05131254346072822,88.3873133258477,88.21866515647758,0.1686481693701154,4.082204805038086
3-layer SIM (universal),26.0,2.0,8.0,11.310574622241075,11.258095177403733,0.052479444837342015,88.3873133258477,88.37485610641633,0.012457219431368571,6.747183291706981
3-layer SIM (BMI-adaptive),26.0,2.0,8.0,11.310574622241075,11.257783789207277,0.05279083303379828,88.3873133258477,88.34471207535609,0.04260125049161445,7.509749352498604
No intelligent surface,26.0,3.0,8.0,17.935803916443007,6.692416824471111,11.243387091971897,57.739453395175765,73.51310841904383,15.773655023868066,-8.749597884991068
Digital MVDR array (BMI-adaptive),26.0,3.0,8.0,17.935803916443007,17.88606173462391,0.049742181819095066,57.739453395175765,57.60315919710666,0.13629419806910192,7.663423912473445
1-layer RIS (BMI-adaptive),26.0,3.0,8.0,17.935803916443007,17.89656191324613,0.03924200319687543,57.739453395175765,57.626559121989764,0.11289427318600076,4.069525408043381
3-layer SIM (universal),26.0,3.0,8.0,17.935803916443007,17.881539505606014,0.05426441083699274,57.739453395175765,57.669594343298975,0.06985905187679009,7.1223687002219
3-layer SIM (BMI-adaptive),26.0,3.0,8.0,17.935803916443007,17.88351533899984,0.05228857744316784,57.739453395175765,57.63946979778507,0.09998359739069684,7.624001632909044
No intelligent surface,26.0,4.0,8.0,22.8923610239086,6.145551051757015,16.746809972151585,77.60653943797969,50.85059990955776,26.755939528421933,-8.749820973924853
Digital MVDR array (BMI-adaptive),26.0,4.0,8.0,22.8923610239086,22.841817282252293,0.050543741656305485,77.60653943797969,77.74635641408238,0.1398169761026935,7.728311765790279
1-layer RIS (BMI-adaptive),26.0,4.0,8.0,22.8923610239086,22.838004786200184,0.05435623770841502,77.60653943797969,77.75695921881871,0.15041978083901597,4.266408255490159
3-layer SIM (universal),26.0,4.0,8.0,22.8923610239086,22.845686903769618,0.04667412013898087,77.60653943797969,77.7432427540167,0.13670331603701413,7.29686602918049
3-layer SIM (BMI-adaptive),26.0,4.0,8.0,22.8923610239086,22.84527004789861,0.047090976009990015,77.60653943797969,77.69178776377434,0.08524832579465169,7.725116876119149
No intelligent surface,26.0,5.0,8.0,25.036332148178335,12.332906384019086,12.703425764159249,94.37076166696549,80.83513928394768,13.53562238301781,-8.749757265300135
Digital MVDR array (BMI-adaptive),26.0,5.0,8.0,25.036332148178335,24.992393261686153,0.043938886492181695,94.37076166696549,94.34097477070199,0.02978689626350217,7.689710331005121
1-layer RIS (BMI-adaptive),26.0,5.0,8.0,25.036332148178335,24.990904599202622,0.045427548975712995,94.37076166696549,94.33904050611898,0.03172116084651577,4.2301071664943
3-layer SIM (universal),26.0,5.0,8.0,25.036332148178335,24.992630304973176,0.04370184320515946,94.37076166696549,94.33470138017742,0.036060286788071494,7.148035532601
3-layer SIM (BMI-adaptive),26.0,5.0,8.0,25.036332148178335,24.992752842508622,0.04357930566971291,94.37076166696549,94.33575184155056,0.035009825414931584,7.690171651791928
No intelligent surface,26.0,6.0,8.0,18.410459759978938,9.381861876010086,9.028597883968851,79.0966263825435,47.24889416982549,31.847732212718014,-8.749734152815112
Digital MVDR array (BMI-adaptive),26.0,6.0,8.0,18.410459759978938,18.36122447597102,0.0492352840079171,79.0966263825435,79.0318032038073,0.06482317873620502,7.2407347954861
1-layer RIS (BMI-adaptive),26.0,6.0,8.0,18.410459759978938,18.362366749247595,0.048093010731342645,79.0966263825435,79.36550361524515,0.2688772327016409,3.766692184019324
3-layer SIM (universal),26.0,6.0,8.0,18.410459759978938,18.35649234687192,0.05396741310701714,79.0966263825435,78.92906438756397,0.16756199497953617,6.287719258277045
3-layer SIM (BMI-adaptive),26.0,6.0,8.0,18.410459759978938,18.358031535572486,0.05242822440645156,79.0966263825435,78.95290719759221,0.1437191849512942,7.247791622400859
No intelligent surface,26.0,7.0,8.0,13.240223569379989,13.195369608376026,0.04485396100396244,80.86292940725652,50.096257255326165,30.76667215193035,-8.750198503186894
Digital MVDR array (BMI-adaptive),26.0,7.0,8.0,13.240223569379989,13.194028778376865,0.04619479100312418,80.86292940725652,80.80161322884449,0.061316178412027966,7.594705597915986
1-layer RIS (BMI-adaptive),26.0,7.0,8.0,13.240223569379989,13.1931239833794,0.04709958600058961,80.86292940725652,80.7989954202345,0.06393398702201125,4.3136159273669
3-layer SIM (universal),26.0,7.0,8.0,13.240223569379989,13.195159395226677,0.04506417415331221,80.86292940725652,80.84771786390858,0.015211543347930956,7.294644121753273
3-layer SIM (BMI-adaptive),26.0,7.0,8.0,13.240223569379989,13.19521686278018,0.045006706599808766,80.86292940725652,80.84842431694376,0.0145050903127526,7.630211920530795
No intelligent surface,26.0,8.0,8.0,17.4342896516426,17.64377790584378,0.20948825420117956,69.91456218856655,63.15479600094721,6.759766187619341,-8.750022299615095
Digital MVDR array (BMI-adaptive),26.0,8.0,8.0,17.4342896516426,17.395390675447224,0.03889897619537663,69.91456218856655,70.12533704490066,0.21077485633411186,7.353271893755643
1-layer RIS (BMI-adaptive),26.0,8.0,8.0,17.4342896516426,17.392199735400347,0.04208991624225433,69.91456218856655,70.31870999979849,0.40414781123193677,4.118068942285005
3-layer SIM (universal),26.0,8.0,8.0,17.4342896516426,17.394267557439992,0.04002209420260883,69.91456218856655,69.9623504615414,0.04778827297485577,6.55989964260349
3-layer SIM (BMI-adaptive),26.0,8.0,8.0,17.4342896516426,17.3926500286556,0.04163962298700241,69.91456218856655,69.94945590283439,0.03489371426783805,7.402939806317943
No intelligent surface,26.0,9.0,8.0,16.021007377790784,15.815169706268929,0.20583767152185573,64.08547950361088,43.01993656222493,21.065542941385957,-8.750367276329447
Digital MVDR array (BMI-adaptive),26.0,9.0,8.0,16.021007377790784,15.97951518405413,0.041492193736655025,64.08547950361088,64.17345999587522,0.08798049226433591,7.41566637844593
1-layer RIS (BMI-adaptive),26.0,9.0,8.0,16.021007377790784,15.97687919429373,0.04412818349705461,64.08547950361088,64.06675915880146,0.01872034480942375,4.3045391891183575
3-layer SIM (universal),26.0,9.0,8.0,16.021007377790784,15.979028071137147,0.04197930665363714,64.08547950361088,64.1389975470747,0.05351804346381073,7.017060607971759
3-layer SIM (BMI-adaptive),26.0,9.0,8.0,16.021007377790784,15.977082006761513,0.043925371029271076,64.08547950361088,64.12287719807797,0.03739769446708863,7.481988683563713
No intelligent surface,30.0,0.0,8.0,15.168372419575183,3.815533573911136,11.352838845664047,61.594541005246334,54.73064450246965,6.863896502776683,-10.077129866935595
Digital MVDR array (BMI-adaptive),30.0,0.0,8.0,15.168372419575183,15.127871085356059,0.040501334219124274,61.594541005246334,61.47219294308218,0.12234806216415706,9.887781214619013
1-layer RIS (BMI-adaptive),30.0,0.0,8.0,15.168372419575183,15.131154046988755,0.03721837258642857,61.594541005246334,61.38606963884021,0.20847136640612263,6.036570556125325
3-layer SIM (universal),30.0,0.0,8.0,15.168372419575183,15.130023819267844,0.038348600307339,61.594541005246334,61.494453671685264,0.10008733356107058,9.48852421457747
3-layer SIM (BMI-adaptive),30.0,0.0,8.0,15.168372419575183,15.129130615141369,0.03924180443381431,61.594541005246334,61.51725967501393,0.07728133023240247,9.865205238274608
No intelligent surface,30.0,1.0,8.0,14.41515827136859,5.654287632866921,8.760870638501668,87.46804233378418,48.49774209026174,38.970300243522445,-10.07707448844997
Digital MVDR array (BMI-adaptive),30.0,1.0,8.0,14.41515827136859,14.369633504835349,0.04552476653324078,87.46804233378418,87.46499046651996,0.0030518672642187994,9.917129489574975
1-layer RIS (BMI-adaptive),30.0,1.0,8.0,14.41515827136859,14.368610520322992,0.04654775104559761,87.46804233378418,87.46083390921825,0.007208424565931182,6.047148321601473
3-layer SIM (universal),30.0,1.0,8.0,14.41515827136859,14.370358907405985,0.0447993639626052,87.46804233378418,87.45716919331663,0.010873140467552389,9.535733634535811
3-layer SIM (BMI-adaptive),30.0,1.0,8.0,14.41515827136859,14.369549083778601,0.045609187589988665,87.46804233378418,87.44864724802011,0.019395085764074338,9.902402382523345
No intelligent surface,30.0,2.0,8.0,12.406962897387531,-29.250774965540696,41.65773786292823,95.58642156287789,48.18034285589055,47.40607870698734,-10.077027332892289
Digital MVDR array (BMI-adaptive),30.0,2.0,8.0,12.406962897387531,12.35821674740476,0.048746149982770604,95.58642156287789,95.76014361901771,0.17372205613982317,9.958548245607307
